library,candidate_order,candidate_name,included_in_k7,included_in_k20,estimator_class,parameters_json
high_dependency_linear_20,1,logreg_l2_c003,True,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.03, max_iter=3000, random_state=102, solver='liblinear')"", ""model__C"": 0.03, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 102, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.03, max_iter=3000, random_state=102, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,2,logreg_l2_c01,True,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.1, max_iter=3000, random_state=104, solver='liblinear')"", ""model__C"": 0.1, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 104, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.1, max_iter=3000, random_state=104, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,3,logreg_l2_c1,True,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(max_iter=3000, random_state=108, solver='liblinear')"", ""model__C"": 1.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 108, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(max_iter=3000, random_state=108, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,4,logreg_l2_c10,True,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=10.0, max_iter=3000, random_state=110, solver='liblinear')"", ""model__C"": 10.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 110, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=10.0, max_iter=3000, random_state=110, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,5,logreg_l1_c01,True,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.1, max_iter=3000, penalty='l1', random_state=114,\n                   solver='liblinear')"", ""model__C"": 0.1, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l1"", ""model__random_state"": 114, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.1, max_iter=3000, penalty='l1', random_state=114,\n                   solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,6,elastic_net_logreg,True,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(l1_ratio=0.5, max_iter=3000, n_jobs=1, penalty='elasticnet',\n                   random_state=128, solver='saga')"", ""model__C"": 1.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": 0.5, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": 1, ""model__penalty"": ""elasticnet"", ""model__random_state"": 128, ""model__solver"": ""saga"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(l1_ratio=0.5, max_iter=3000, n_jobs=1, penalty='elasticnet',\n                   random_state=128, solver='saga')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,7,linear_svm_c1,True,True,Pipeline,"{""memory"": null, ""model"": ""LinearSVC(dual=False, max_iter=8000, random_state=132)"", ""model__C"": 1.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__loss"": ""squared_hinge"", ""model__max_iter"": 8000, ""model__multi_class"": ""ovr"", ""model__penalty"": ""l2"", ""model__random_state"": 132, ""model__tol"": 0.0001, ""model__verbose"": 0, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LinearSVC(dual=False, max_iter=8000, random_state=132)""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,8,logreg_l2_c001,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.01, max_iter=3000, random_state=138, solver='liblinear')"", ""model__C"": 0.01, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 138, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.01, max_iter=3000, random_state=138, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,9,logreg_l2_c03,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.3, max_iter=3000, random_state=140, solver='liblinear')"", ""model__C"": 0.3, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 140, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.3, max_iter=3000, random_state=140, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,10,logreg_l2_c3,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=3.0, max_iter=3000, random_state=150, solver='liblinear')"", ""model__C"": 3.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 150, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=3.0, max_iter=3000, random_state=150, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,11,logreg_l2_c30,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=30.0, max_iter=3000, random_state=152, solver='liblinear')"", ""model__C"": 30.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 152, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=30.0, max_iter=3000, random_state=152, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,12,logreg_l2_c100,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=100.0, max_iter=3000, random_state=158, solver='liblinear')"", ""model__C"": 100.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l2"", ""model__random_state"": 158, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=100.0, max_iter=3000, random_state=158, solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,13,logreg_l1_c003,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.03, max_iter=3000, penalty='l1', random_state=164,\n                   solver='liblinear')"", ""model__C"": 0.03, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l1"", ""model__random_state"": 164, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.03, max_iter=3000, penalty='l1', random_state=164,\n                   solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,14,logreg_l1_c03,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.3, max_iter=3000, penalty='l1', random_state=168,\n                   solver='liblinear')"", ""model__C"": 0.3, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l1"", ""model__random_state"": 168, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.3, max_iter=3000, penalty='l1', random_state=168,\n                   solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,15,logreg_l1_c1,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(max_iter=3000, penalty='l1', random_state=174,\n                   solver='liblinear')"", ""model__C"": 1.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l1"", ""model__random_state"": 174, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(max_iter=3000, penalty='l1', random_state=174,\n                   solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,16,logreg_l1_c3,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=3.0, max_iter=3000, penalty='l1', random_state=180,\n                   solver='liblinear')"", ""model__C"": 3.0, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": null, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": null, ""model__penalty"": ""l1"", ""model__random_state"": 180, ""model__solver"": ""liblinear"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=3.0, max_iter=3000, penalty='l1', random_state=180,\n                   solver='liblinear')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
high_dependency_linear_20,17,elastic_net_c01_r025,False,True,Pipeline,"{""memory"": null, ""model"": ""LogisticRegression(C=0.1, l1_ratio=0.25, max_iter=3000, n_jobs=1,\n                   penalty='elasticnet', random_state=182, solver='saga')"", ""model__C"": 0.1, ""model__class_weight"": null, ""model__dual"": false, ""model__fit_intercept"": true, ""model__intercept_scaling"": 1, ""model__l1_ratio"": 0.25, ""model__max_iter"": 3000, ""model__multi_class"": ""deprecated"", ""model__n_jobs"": 1, ""model__penalty"": ""elasticnet"", ""model__random_state"": 182, ""model__solver"": ""saga"", ""model__tol"": 0.0001, ""model__verbose"": 0, ""model__warm_start"": false, ""scale"": ""StandardScaler()"", ""scale__copy"": true, ""scale__with_mean"": true, ""scale__with_std"": true, ""steps"": [[""variance"", ""VarianceThreshold()""], [""scale"", ""StandardScaler()""], [""model"", ""LogisticRegression(C=0.1, l1_ratio=0.25, max_iter=3000, n_jobs=1,\n                   penalty='elasticnet', random_state=182, solver='saga')""]], ""transform_input"": null, ""variance"": ""VarianceThreshold()"", ""variance__threshold"": 0.0, ""verbose"": false}"
